game_pk,date,away_team,home_team,venue,day_night,away_runs,home_runs,total_runs,total_hr,weather_raw,wind_raw,season
662411,2022-07-21,Detroit Tigers,Oakland Athletics,Oakland Coliseum,day,7,2,9,2,"66 degrees, Sunny.","10 mph, Varies.",2022
661560,2022-07-22,Chicago Cubs,Philadelphia Phillies,Citizens Bank Park,night,15,2,17,6,"93 degrees, Clear.","12 mph, Out To CF.",2022
663060,2022-07-22,St. Louis Cardinals,Cincinnati Reds,Great American Ball Park,night,5,9,14,4,"93 degrees, Clear.","6 mph, Out To LF.",2022
662685,2022-07-22,San Francisco Giants,Los Angeles Dodgers,Dodger Stadium,night,6,9,15,4,"75 degrees, Clear.","7 mph, Out To CF.",2022
661504,2022-07-22,Los Angeles Angels,Atlanta Braves,Truist Park,night,1,8,9,4,"77 degrees, Cloudy.","5 mph, R To L.",2022
663222,2022-07-22,Toronto Blue Jays,Boston Red Sox,Fenway Park,night,28,5,33,9,"91 degrees, Clear.","9 mph, Out To RF.",2022
662327,2022-07-22,Miami Marlins,Pittsburgh Pirates,PNC Park,night,8,1,9,2,"90 degrees, Partly Cloudy.","9 mph, Out To LF.",2022
662344,2022-07-23,Texas Rangers,Oakland Athletics,Oakland Coliseum,night,4,5,9,3,"67 degrees, Clear.","12 mph, Out To RF.",2022
662658,2022-07-23,Tampa Bay Rays,Kansas City Royals,Kauffman Stadium,night,7,3,10,0,"95 degrees, Clear.","12 mph, R To L.",2022
662167,2022-07-23,Houston Astros,Seattle Mariners,T-Mobile Park,night,5,2,7,4,"73 degrees, Clear.","1 mph, Out To RF.",2022
662481,2022-07-22,San Diego Padres,New York Mets,Citi Field,night,4,1,5,2,"86 degrees, Partly Cloudy.","10 mph, Out To CF.",2022
661409,2022-07-23,Cleveland Guardians,Chicago White Sox,Guaranteed Rate Field,night,8,2,10,1,"88 degrees, Partly Cloudy.","9 mph, In From RF.",2022
661523,2022-07-23,Cleveland Guardians,Chicago White Sox,Guaranteed Rate Field,day,7,4,11,0,"75 degrees, Partly Cloudy.","14 mph, R To L.",2022
661072,2022-07-22,New York Yankees,Baltimore Orioles,Oriole Park at Camden Yards,night,7,6,13,4,"93 degrees, Partly Cloudy.","9 mph, Out To RF.",2022
663306,2022-07-23,Washington Nationals,Arizona Diamondbacks,Chase Field,night,1,10,11,2,"74 degrees, Roof Closed.","0 mph, None.",2022
662589,2022-07-23,San Francisco Giants,Los Angeles Dodgers,Dodger Stadium,night,1,5,6,1,"76 degrees, Partly Cloudy.","4 mph, Out To CF.",2022
663221,2022-07-23,Toronto Blue Jays,Boston Red Sox,Fenway Park,day,4,1,5,1,"94 degrees, Sunny.","8 mph, Out To LF.",2022
662902,2022-07-23,Minnesota Twins,Detroit Tigers,Comerica Park,night,8,4,12,1,"92 degrees, Clear.","6 mph, R To L.",2022
661408,2022-07-23,Cleveland Guardians,Chicago White Sox,Guaranteed Rate Field,night,4,5,9,1,"83 degrees, Partly Cloudy.","15 mph, R To L.",2022
661193,2022-07-23,Colorado Rockies,Milwaukee Brewers,American Family Field,night,5,6,11,4,"86 degrees, Clear.","15 mph, In From RF.",2022
661559,2022-07-23,Chicago Cubs,Philadelphia Phillies,Citizens Bank Park,night,6,2,8,1,"97 degrees, Clear.","10 mph, Out To LF.",2022
662146,2022-07-23,Houston Astros,Seattle Mariners,T-Mobile Park,day,3,1,4,1,"61 degrees, Partly Cloudy.","4 mph, Out To RF.",2022
662657,2022-07-23,Tampa Bay Rays,Kansas City Royals,Kauffman Stadium,night,3,6,9,2,"99 degrees, Clear.","16 mph, R To L.",2022
661057,2022-07-23,New York Yankees,Baltimore Orioles,Oriole Park at Camden Yards,night,3,6,9,2,"97 degrees, Clear.","6 mph, Out To LF.",2022
662495,2022-07-23,San Diego Padres,New York Mets,Citi Field,night,2,1,3,1,"89 degrees, Clear.","12 mph, Out To LF.",2022
661201,2022-07-23,Colorado Rockies,Milwaukee Brewers,American Family Field,night,4,9,13,3,"86 degrees, Roof Closed.","10 mph, R To L.",2022
663047,2022-07-23,St. Louis Cardinals,Cincinnati Reds,Great American Ball Park,night,6,3,9,3,"92 degrees, Partly Cloudy.","7 mph, Varies.",2022
662608,2022-07-23,San Francisco Giants,Los Angeles Dodgers,Dodger Stadium,day,2,4,6,3,"81 degrees, Sunny.","7 mph, Out To RF.",2022
